age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native-country,class
1,Private,241802,HS-grad,9,Married-civ-spouse,Other-service,Wife,Other,Female,0,0,2,United-States,0
3,Self-emp-not-inc,157486,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,2,0,2,United-States,1
3,Federal-gov,221791,HS-grad,9,Divorced,Craft-repair,Not-in-family,Black,Male,0,0,2,United-States,0
4,State-gov,198145,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,0
3,Private,155654,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,2,United-States,0
0,Private,283896,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,2,United-States,0
0,Private,111445,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,2,United-States,0
3,Private,144351,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,1
4,Private,230904,11th,7,Widowed,Machine-op-inspct,Not-in-family,Black,Female,0,2,1,United-States,0
0,Private,114838,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,0,Italy,0
1,Private,167476,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,3,United-States,0
1,Private,118551,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,4,United-States,0
2,Private,36296,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,2,United-States,0
4,Private,122033,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,0
2,Self-emp-not-inc,122353,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,0
3,Private,24740,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2,3,United-States,0
2,State-gov,115005,HS-grad,9,Divorced,Tech-support,Not-in-family,White,Female,0,0,2,United-States,0
3,Private,95128,Some-college,10,Divorced,Sales,Not-in-family,White,Male,0,0,3,United-States,0
3,Private,158583,Some-college,10,Divorced,Tech-support,Not-in-family,White,Female,0,0,2,United-States,0
3,Private,27227,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,3,1,United-States,1
4,Self-emp-not-inc,190514,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0,United-States,0
1,Private,241431,12th,8,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,2,United-States,0
3,Private,113912,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,0,United-States,0
1,Private,140474,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,0,0,2,United-States,0
3,Private,39530,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,0
1,Private,76996,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,Black,Female,0,0,2,United-States,0
1,Private,26543,Bachelors,13,Divorced,Other-service,Not-in-family,White,Male,0,0,2,United-States,0
2,Private,165916,Bachelors,13,Divorced,Adm-clerical,Unmarried,White,Female,0,0,2,United-States,0
3,Private,280525,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,1
1,Private,343519,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,1,United-States,0
2,Private,162643,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,0
1,Private,125933,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,3,United-States,1
2,Private,212433,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,2,United-States,0
0,,44789,Some-college,10,Never-married,,Own-child,White,Male,0,0,0,United-States,0
1,Private,113530,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,0
0,,211968,Some-college,10,Never-married,,Own-child,White,Female,0,0,1,Iran,0
1,Private,115438,HS-grad,9,Separated,Craft-repair,Unmarried,White,Male,0,0,1,United-States,0
0,Private,222490,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,2,United-States,0
0,Private,78817,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,0,United-States,0
0,Private,191789,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,0,,0
3,Self-emp-not-inc,191389,Some-college,10,Separated,Sales,Unmarried,White,Female,0,0,3,United-States,0
0,Private,189888,12th,8,Never-married,Other-service,Not-in-family,White,Male,0,0,2,United-States,0
4,Private,178154,10th,6,Widowed,Transport-moving,Not-in-family,White,Male,0,0,2,United-States,0
0,,165069,10th,6,Never-married,,Own-child,White,Male,0,2,2,United-States,0
2,Self-emp-inc,253060,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,3,0,2,United-States,1
3,Private,423222,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,3,United-States,1
3,Private,57698,HS-grad,9,Married-spouse-absent,Other-service,Unmarried,White,Female,0,0,2,United-States,0
4,Private,44013,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,0
2,Private,77391,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,2,United-States,0
2,Private,86185,Some-college,10,Widowed,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,0,0,2,United-States,0
3,Local-gov,50459,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,1
3,Private,132912,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,United-States,1
2,Self-emp-inc,25005,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,0
1,Private,113987,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,2,United-States,0
1,,134886,HS-grad,9,Married-civ-spouse,,Wife,White,Female,0,0,0,United-States,1
4,Self-emp-not-inc,253408,Some-college,10,Widowed,Transport-moving,Not-in-family,White,Male,0,0,2,United-States,0
0,Private,227610,10th,6,Divorced,Handlers-cleaners,Unmarried,White,Female,0,0,3,United-States,0
0,Private,212619,Assoc-voc,11,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,2,United-States,0
2,Private,174242,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,2,0,3,United-States,1
1,Self-emp-not-inc,216178,Bachelors,13,Never-married,Craft-repair,Own-child,White,Male,0,0,1,United-States,0
2,Self-emp-not-inc,147206,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,0,United-States,0
3,State-gov,139268,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,4,United-States,1
4,Private,280519,10th,6,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,2,United-States,0
4,Private,196502,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,1
4,,159542,5th-6th,3,Widowed,,Unmarried,Black,Female,0,0,2,United-States,0
2,Private,266084,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,2,United-States,1
1,Local-gov,118500,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,2,United-States,0
3,Private,33084,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,0
0,Private,236696,Assoc-acdm,12,Never-married,Craft-repair,Own-child,White,Male,0,0,0,Iran,0
0,Private,40432,10th,6,Never-married,Adm-clerical,Own-child,White,Female,0,0,0,United-States,0
2,Private,302584,Bachelors,13,Divorced,Sales,Not-in-family,White,Male,0,0,2,United-States,0
4,Self-emp-not-inc,243567,11th,7,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,0,United-States,0
0,Private,163665,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,0,United-States,0
1,Private,213226,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,0,3,United-States,0
3,Private,99516,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,1,United-States,0
4,,200862,10th,6,Never-married,,Not-in-family,Black,Female,0,0,1,United-States,0
2,Private,269186,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,0
0,State-gov,255575,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,0,United-States,0
2,State-gov,25806,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,3,China,0
1,Private,167336,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,4,0,2,United-States,1
4,Private,241013,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,2,United-States,0
2,Private,172706,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,0
3,Private,154043,HS-grad,9,Widowed,Adm-clerical,Other-relative,Black,Female,0,0,2,United-States,0
1,Private,188569,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,1,United-States,0
0,Private,139722,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,2,Puerto-Rico,0
3,Local-gov,270221,Some-college,10,Divorced,Adm-clerical,Own-child,White,Male,0,0,2,United-States,1
4,Private,87518,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,2,3,United-States,0
4,Private,282023,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,1
0,,202521,11th,7,Never-married,,Own-child,White,Male,0,0,2,United-States,0
3,Private,350131,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,4,2,United-States,0
2,Private,190205,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,0
0,,189203,Assoc-acdm,12,Never-married,,Not-in-family,White,Male,0,0,0,United-States,0
2,Private,367260,Doctorate,16,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,0
1,Private,334032,Assoc-voc,11,Never-married,Sales,Not-in-family,White,Male,0,0,3,United-States,0
0,Private,172232,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,3,United-States,0
0,Local-gov,117789,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,0,United-States,0
2,Private,126675,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,1
2,Private,169104,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,1
0,Private,219256,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,1,United-States,0
0,Private,192735,HS-grad,9,Separated,Adm-clerical,Not-in-family,White,Female,0,0,4,United-States,0
2,Private,175935,Bachelors,13,Divorced,Sales,Not-in-family,White,Male,4,0,2,United-States,1
3,Private,153486,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,1
2,Self-emp-inc,271901,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,1,United-States,1
4,Local-gov,76720,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,2,United-States,0
4,Private,81132,5th-6th,3,Married-civ-spouse,Handlers-cleaners,Husband,Asian-Pac-Islander,Male,2,0,2,Philippines,1
0,Private,78602,11th,7,Never-married,Other-service,Other-relative,White,Female,0,0,0,United-States,0
4,Self-emp-inc,172907,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,1,United-States,1
2,Private,175665,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,2,United-States,0
1,Private,101283,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,2,United-States,0
2,State-gov,223020,Some-college,10,Divorced,Other-service,Unmarried,Black,Female,0,0,0,United-States,0
1,Private,335533,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,0,United-States,0
1,Local-gov,289716,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,2,United-States,0
0,Private,542762,Bachelors,13,Never-married,Sales,Other-relative,Black,Male,0,0,3,United-States,0
2,Private,289653,Bachelors,13,Divorced,Sales,Unmarried,White,Male,0,0,2,United-States,1
4,Private,190610,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,1
2,Private,34037,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,2,United-States,0
0,,267955,9th,5,Never-married,,Own-child,White,Female,0,0,0,United-States,0
1,Private,46746,Some-college,10,Divorced,Craft-repair,Unmarried,White,Male,0,0,2,United-States,0
0,Private,308205,Some-college,10,Never-married,Exec-managerial,Own-child,White,Male,0,0,2,United-States,0
2,Private,27408,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,0,0,3,United-States,0
2,Private,304570,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,3,China,1
3,Private,176897,Some-college,10,Divorced,Tech-support,Not-in-family,White,Male,0,0,2,United-States,0
1,Local-gov,254270,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,2,United-States,0
3,Private,216999,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,United-States,0
0,Private,155066,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,3,United-States,0
3,Private,35459,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,2,United-States,0
1,Self-emp-not-inc,33124,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Female,0,0,1,United-States,0
3,Private,132465,1st-4th,2,Married-spouse-absent,Other-service,Not-in-family,White,Male,0,0,2,Mexico,0
3,,110243,Masters,14,Married-civ-spouse,,Husband,White,Male,0,3,0,United-States,1
2,Private,273308,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,3,Mexico,0
4,Private,333230,HS-grad,9,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,0,0,0,United-States,0
1,Self-emp-not-inc,157778,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Male,0,0,2,United-States,0
4,Private,187635,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,2,United-States,0
3,Private,123053,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,3,Japan,1
1,Private,105994,11th,7,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,2,United-States,0
2,Private,139338,12th,8,Divorced,Transport-moving,Unmarried,Black,Male,0,0,2,United-States,0
1,,226379,HS-grad,9,Married-civ-spouse,,Other-relative,White,Female,0,0,1,United-States,0
2,Federal-gov,192443,Some-college,10,Never-married,Exec-managerial,Not-in-family,Black,Male,4,0,2,United-States,1
1,Private,303440,Assoc-voc,11,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,2,United-States,0
4,Private,50490,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,United-States,1
0,Private,195994,1st-4th,2,Never-married,Priv-house-serv,Not-in-family,White,Female,0,0,2,Guatemala,0
1,Private,280344,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,United-States,1
0,Private,214716,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,2,United-States,0
4,Private,32552,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0,United-States,0
1,Self-emp-not-inc,267161,Bachelors,13,Divorced,Exec-managerial,Unmarried,Black,Female,0,0,1,United-States,0
1,Private,182714,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,2,United-States,0
2,Private,69481,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,3,United-States,1
4,Self-emp-not-inc,30599,Masters,14,Married-spouse-absent,Prof-specialty,Not-in-family,White,Female,0,0,3,United-States,0
2,State-gov,33126,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,2,United-States,1
3,Private,68985,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,1
4,Self-emp-not-inc,165867,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,1,United-States,0
3,Private,186826,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,1,2,United-States,1
3,Private,117674,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,1
2,Private,195545,HS-grad,9,Divorced,Machine-op-inspct,Own-child,Black,Female,0,0,2,United-States,0
0,Private,235853,9th,5,Never-married,Sales,Not-in-family,White,Male,0,0,2,United-States,0
1,Private,191515,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,2,United-States,0
2,Private,199625,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Female,0,0,0,United-States,0
1,Self-emp-not-inc,62272,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,2,United-States,0
4,Private,260082,12th,8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,Columbia,0
2,Local-gov,54190,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,3,United-States,1
0,Private,376393,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,1,United-States,0
0,Private,352057,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,4,United-States,0
0,Without-pay,302347,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,2,0,2,United-States,0
4,Private,125954,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,1,0,2,United-States,0
2,Private,163392,HS-grad,9,Never-married,Transport-moving,Other-relative,Asian-Pac-Islander,Male,0,0,2,,0
0,Private,208946,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,1,United-States,0
2,Self-emp-not-inc,119207,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,3,United-States,0
2,Local-gov,322770,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,2,2,Jamaica,1
4,Private,175942,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,3,United-States,1
3,Federal-gov,177647,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,2,France,1
3,Self-emp-not-inc,157639,9th,5,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,0
4,Private,156052,HS-grad,9,Widowed,Other-service,Unmarried,Black,Female,1,0,0,United-States,0
1,Private,251421,Assoc-acdm,12,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,3,United-States,0
0,Private,208103,11th,7,Never-married,Other-service,Other-relative,White,Male,0,0,1,United-States,0
3,Self-emp-not-inc,205296,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,0,0,3,United-States,0
1,,73296,11th,7,Never-married,,Not-in-family,Black,Female,0,0,2,United-States,0
4,Private,135617,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,0
2,Self-emp-not-inc,117012,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,3,United-States,0
2,Self-emp-inc,114844,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,4,0,4,United-States,1
3,Private,35406,Assoc-voc,11,Separated,Other-service,Not-in-family,White,Female,0,0,1,United-States,0
3,Private,155933,Bachelors,13,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,2,0,United-States,0
4,,121136,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0,0,0,United-States,0
3,Private,323798,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,1,0,3,United-States,0
1,Private,371103,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,2,United-States,0
2,Private,269168,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,2,China,1
